device_id,browser_type,browser_version_major,browser_version_minor,browser_version_patch,device_type,device_version_major,device_version_minor,device_version_patch,os_type,os_version_major,os_version_minor,os_version_patch
10712890277322220000,Chrome Mobile WebView,78,0,3904,LIO-AN00,0,0,0,Android,0,0,0
9348143728466969000,Chrome,89,0,4389,Other,0,0,0,Mac OS X,10,15,5
10817596788592160000,Chrome Mobile,90,0,4430,Generic Smartphone,0,0,0,Android,0,0,0
9513911883694710000,Chrome,19,0,1031,Other,0,0,0,Windows,7,0,0
12808867792141490000,Chrome,16,0,912,Other,0,0,0,Windows,7,0,0
12663155103461798000,Chrome,90,0,4430,Other,0,0,0,Mac OS X,10,15,7
16934697708574005000,Chrome,35,0,2309,Other,0,0,0,Windows,XP,0,0
11384785943365624000,Safari,14,0,0,Other,0,0,0,Mac OS X,10,15,6
16991552771298998000,Opera,12,00,0,Other,0,0,0,Linux,0,0,0
13623450552901478000,Chrome,89,0,4389,Other,0,0,0,Mac OS X,11,3,0
6292318232794652000,Chrome Mobile iOS,87,0,4280,iPad,0,0,0,iOS,14,4,0
14427671424781367000,Firefox,88,0,0,Other,0,0,0,Mac OS X,10,15,0
10878313340884402000,Chrome Mobile,90,0,4430,Generic Smartphone,0,0,0,Android,8,1,0
16743787487803468000,Mobile Safari,14,1,0,iPhone,0,0,0,iOS,14,5,0
18323088782751623000,Chrome Mobile,90,0,4430,Nokia undefined$2$3,0,6,0,Android,0,0,0
13932420703714236000,Opera,11,11,0,Other,0,0,0,Windows,XP,0,0
12286708145024006000,Chrome,90,0,4430,Other,0,0,0,Mac OS X,11,2,3
10788697288556010000,Chrome Mobile iOS,80,0,3987,iPhone,0,0,0,iOS,14,4,0
1461667992423394300,Chrome,90,0,4430,Other,0,0,0,Linux,0,0,0
7846662866073272000,Opera,75,0,3969,Other,0,0,0,Mac OS X,10,15,5
15552521905169430000,Firefox,88,0,0,Other,0,0,0,Windows,10,0,0
11069767145904216000,Firefox,87,0,0,Other,0,0,0,Mac OS X,10,12,0
9349285666681952000,Chrome,90,0,4430,Other,0,0,0,Mac OS X,10,15,6
8083046489850781000,Chrome,90,0,4430,Other,0,0,0,Mac OS X,10,12,6
11864101806108746000,Firefox Mobile,88,0,0,Generic Smartphone,0,0,0,Android,0,0,0
8181038622718414000,Chrome,90,0,4430,Other,0,0,0,Mac OS X,10,14,6
2038992756011101400,Chrome,4,0,202,Other,0,0,0,Mac OS X,10,5,7
14601988492387676000,Java,8,0,261,Spider,0,0,0,Other,0,0,0
14697559375791055000,Chrome Mobile WebView,90,0,4430,ELE-AL00,0,0,0,Android,0,0,0
7715519153209692000,Firefox,17,0,0,Other,0,0,0,Ubuntu,0,0,0
8349929903896335000,Chrome Mobile WebView,90,0,4430,RNE-L21,0,0,0,Android,8,0,0
2758006514215954000,Samsung Internet,14,0,0,Samsung SM-G965W,0,0,0,Android,0,0,0
10630811388870296000,Chrome Mobile,71,0,3578,XiaoMi Redmi Note 5 Pro,Redmi,Note ,Build,Android,0,0,0
17871185666108387000,Opera Mobile,63,3,3216,Generic Smartphone,0,0,0,Android,0,0,0
5330275677370480000,Samsung Internet,14,0,0,Samsung SM-N950F,0,0,0,Android,0,0,0
9055296048991490000,Mobile Safari UI/WKWebView,14,5,1,iPhone,0,0,0,iOS,14,5,1
9697325418452427000,Samsung Internet,14,0,0,Samsung SM-A705FN,0,0,0,Android,0,0,0
18358391206019162000,Chrome Mobile,90,0,4430,Generic Smartphone,0,0,0,Android,7,0,0
10115915880550453000,Chrome Mobile,90,0,4430,Generic Smartphone,0,0,0,Android,6,0,1
3065895486710280700,Chrome,90,0,4430,Other,0,0,0,Windows,7,0,0
12350124083551850000,Samsung Internet,14,0,0,Samsung SM-G980F,0,0,0,Android,0,0,0
14938848514015890000,Samsung Internet,14,0,0,Samsung SM-N950U,0,0,0,Android,0,0,0
2480475865892937700,Chrome Mobile,71,0,3578,XiaoMi Redmi Note 8 Pro,Redmi,Note ,Build,Android,0,0,0
5968131940279420000,Firefox Mobile,88,0,0,Generic Smartphone,0,0,0,Android,8,0,0
17786716497179214000,Samsung Internet,14,0,0,Samsung SM-G973W,0,0,0,Android,0,0,0
10275271278751529000,Chrome Mobile,90,0,4430,LG-$2,H930,0,0,Android,0,0,0
5583322740653238000,Samsung Internet,7,4,0,Samsung $2,SM-M013F,0,0,Android,0,0,0
5360498548146491000,WhatsApp,2,20,206,Spider,0,0,0,Other,0,0,0
12869599473388612000,Chrome,90,0,4430,Other,0,0,0,Mac OS X,10,13,6
10099647887904287000,Chrome,88,0,4324,Other,0,0,0,Mac OS X,10,14,3
8259250363152348000,Mobile Safari,14,1,0,iPhone,0,0,0,iOS,14,5,1
13238455259647015000,Firefox,78,0,0,Other,0,0,0,Mac OS X,10,14,0
2502442557493829000,Firefox,88,0,0,Other,0,0,0,Mac OS X,10,12,0
8095146990947308000,Chrome,34,0,1866,Other,0,0,0,Windows,XP,0,0
4790418951977962000,Safari,14,1,0,Other,0,0,0,Mac OS X,10,15,7
12254680288784260000,Firefox,3,6,28,Other,0,0,0,Windows,7,0,0
1291427909784135400,Firefox,88,0,0,Other,0,0,0,Ubuntu,0,0,0
7377532945100756000,Chrome,57,0,2987,Other,0,0,0,Windows,7,0,0
234102248230643900,Mobile Safari UI/WKWebView,14,6,0,iPhone,0,0,0,iOS,14,6,0
12686161987120261000,Chrome,90,0,4430,Other,0,0,0,Mac OS X,10,14,5
9272495703169253000,Chrome,32,0,1664,Other,0,0,0,Mac OS X,10,8,0
4064078207420138500,Chrome Mobile iOS,87,0,4280,iPhone,0,0,0,iOS,14,5,0
2616304221106690600,Chrome Mobile iOS,87,0,4280,iPhone,0,0,0,iOS,14,0,0
16570419890029513000,Chrome Mobile WebView,76,0,3809,Generic Smartphone,0,0,0,Android,0,0,0
5378892419831401000,Opera,76,0,4017,Other,0,0,0,Windows,10,0,0
2150658932309381000,Samsung Internet,14,0,0,Samsung SM-M307F,0,0,0,Android,0,0,0
14862914109916359000,Chrome,87,0,4280,Other,0,0,0,Mac OS X,11,2,2
7431181381005349000,Chrome Mobile,88,0,4324,Nokia undefined$2$3,0,6,0,Android,0,0,0
4478086744512044000,Mobile Safari,14,5,0,iPad,0,0,0,iOS,14,5,0
1233553718631561000,Firefox,26,0,0,Other,0,0,0,Mac OS X,10,7,0
609094871892224900,Firefox,24,0,0,Other,0,0,0,Windows,7,0,0
5502050303220756000,Firefox,25,0,0,Other,0,0,0,Windows,7,0,0
9242820778104697000,Safari,5,1,9,Other,0,0,0,Mac OS X,10,6,8
17662965702565790000,WhatsApp,2,22,24,Spider,0,0,0,Other,0,0,0
5674569612230091000,Opera,11,01,0,Other,0,0,0,Windows,XP,0,0
16908024937956866000,Firefox iOS,8,1,.7,iPhone,0,0,0,iOS,14,4,2
13808732904572465000,Chrome Mobile,90,0,4430,Generic Smartphone,0,0,0,Android,8,0,0
12119079700979876000,Chrome Mobile,90,0,0,Generic Smartphone,0,0,0,Android,0,0,0
15312253774308320000,SemrushBot,0,0,0,Spider,0,0,0,Other,0,0,0
14323489550925990000,HeadlessChrome,79,0,3945,Other,0,0,0,Linux,0,0,0
12896853465246710000,Chrome Mobile,73,0,3683,Generic Smartphone,0,0,0,Android,5,1,1
4793247991450623000,Mobile Safari,14,1,1,iPhone,0,0,0,iOS,14,6,0
16183453212253385000,WhatsApp,2,21,10,Spider,0,0,0,Other,0,0,0
2245679878236661800,Chrome,91,0,4472,Other,0,0,0,Windows,10,0,0
1939892614039723300,Chrome,91,0,4472,Other,0,0,0,Linux,0,0,0
13193767325566882000,Chrome,91,0,4472,Other,0,0,0,Mac OS X,10,15,7
9335130389527566000,Chrome Mobile iOS,90,0,4430,iPhone,0,0,0,iOS,13,3,0
7871603437489692000,Chrome Mobile,91,0,4472,Generic Smartphone,0,0,0,Android,0,0,0
17654386775304847000,Chrome Mobile iOS,90,0,4430,iPhone,0,0,0,iOS,14,4,0
6668675668493588000,Chrome,44,0,2317,Other,0,0,0,Windows,8.1,0,0
9109106508581779000,Chrome,55,0,3157,Other,0,0,0,Windows,7,0,0
16857118373470650000,Chrome,90,0,4430,Other,0,0,0,Mac OS X,10,15,1
6513054034197721000,Firefox,69,0,0,Other,0,0,0,Mac OS X,10,13,0
4434676346644376000,Chrome,63,0,3239,Other,0,0,0,Mac OS X,10,13,2
3405968306974926300,Firefox,10,0,2,Other,0,0,0,CentOS,0,0,0
4137649587763579000,Chrome Mobile iOS,90,0,4430,iPhone,0,0,0,iOS,14,5,0
18277358983600828000,ThinkBot,0,3,0,Spider,0,0,0,Other,0,0,0
4863192941937217000,Firefox Mobile,89,0,0,Generic Smartphone,0,0,0,Android,0,0,0
1694116528153271800,Adsbot,3,1,0,Spider,0,0,0,Other,0,0,0
6019980533530841000,Firefox,89,0,0,Other,0,0,0,Windows,10,0,0
2902543745002867000,Firefox,89,0,0,Other,0,0,0,Mac OS X,10,12,0
11217865683364289000,Firefox,89,0,0,Other,0,0,0,Mac OS X,10,15,0
10225634975250416000,Firefox iOS,34,0,0,iPhone,0,0,0,iOS,14,4,2
10969092910787557000,Chrome Mobile,70,0,3538,Generic Smartphone,0,0,0,Android,0,0,0
17404140848948402000,Chrome,91,0,4472,Other,0,0,0,Windows,8.1,0,0
10780997444737724000,Nicecrawler,1,1,0,Spider,0,0,0,Other,0,0,0
9500565971243205000,Chrome,27,0,844,Other,0,0,0,Mac OS X,10,1,4
4670896492942000000,Chrome Mobile iOS,91,0,4472,iPhone,0,0,0,iOS,14,6,0
804215973198051300,Mobile Safari,14,6,0,iPhone,0,0,0,iOS,14,6,0
2410146702008944600,Firefox,69,0,0,Other,0,0,0,Windows,10,0,0
15391526286030830000,Facebook,316,0,0,iPhone,"12,3",0,0,iOS,14,6,0
10000731062718808000,Firefox,78,0,0,Other,0,0,0,Mac OS X,10,15,0
15360533293465545000,Chrome Mobile iOS,91,0,4472,iPhone,0,0,0,iOS,14,2,0
18426050933623955000,Mobile Safari UI/WKWebView,10,0,0,iPhone,0,0,0,iOS,13,3,0
